,job_title,company_name,location,description,workplace_type,word_count,Tools,Skills,Years_of_Experience,years,experience,Education_Level
1,Business Analyst,  Kuda  ,  Nigeria  ,"About the job
Description

Summary

Kuda is a money app for Africans on a mission to make financial services accessible, affordable and rewarding for every African on the planet.

We’re a tribe of passionate and diverse people who dreamed of building an inclusive money app that Africans would love so it’s only right that we ended up with the name ‘Kuda’ which means ‘love’ in Shona, a language spoken in the southern part of Africa.

We’re giving Africans around the world a better alternative to traditional finance by delivering money transfers, smart budgeting and instant access to credit through digital devices.

We’ve raised over $90 million from some of the world's most respected institutional investors, and we’re rolling out our game-changing services globally from our offices in Nigeria, South Africa, and the UK.

Role overview:

We’re looking for a passionate BI Analyst that can apply their data Illustrative and reporting skills to translate complex information into meaningful insights. Excelling in critical thinking, ensuring all data problems are solved.

You must be able to transform data, gain understanding and use that insight to dig deeper and present a straightforward data story. Must be conformable, communicating findings and insight across multiple business levels.

If you are passionate about data and applying yourself to business challenges excites you, we would love to hear from you.

Roles and Responsibilities:
Design, build, and maintain business intelligence solutions to elevate and showcase data-to-decision across the entire business
Collaborate with product and business stakeholders to define how best to measure, monitor and understand customer behavior and product performance
Develop compelling information visualizations and dashboards
Deliver strategic initiatives to improve the quality and timeliness of data insights
Deliver continuous optimizations strategies that continuously re-invent data products and insights
Analyze business processes and analytical requirements that assist with decision-making processes

Requirements
3+ Years of experience in a Business Intelligence and/or Data Analyst role, with a focus on analyzing and understanding business problems
Strong knowledge and proven experience using SQL
Strong knowledge of and experience with tools like Looker, QlikView, Tableau or PowerBI
Prior experience in designing and implementing performance measures to track business or product KPIs
A fundamental in identifying patterns or regions in products or behaviors that indicate opportunities for business process improvement
Excellent analytical and forecasting ability
Strong written and verbal communication skills
Understand current data protection and privacy laws, e.g., GDPR
A degree in the information technology field (e.g., Statistics, Economics, Math, Science, Engineering)

Advantageous:
Experience working in AWS, Google Cloud or Azure
Using dbt Cloud to perform data modelling.
Experience using BigQuery data capabilities
Good understanding of the software development process and best practices

Benefits

Why join Kuda?

At Kuda, our people are the heart of our business, so we prioritize your welfare. We offer a wide range of competitive benefits in areas including but not limited to:
Pension
Competitive annual leave plus bank holidays
Group life insurance
Health insurance
L&D training
We are advocates of work-life balance and offer a 3 day per week remote working option

Kuda is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Kuda is considered based on merit, qualifications, competence and talent.

We don’t regard colour, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status. If you have a disability or special need that requires accommodation, please let us know.",On-site,570,"['Power BI', 'Azure', ' C/C++', 'BigQuery', ' PL/SQL', 'AWS', 'R', 'Google Cloud', 'Tableau', 'AWS S3', 'SQL']","['Data visualization', 'Statistics', 'Software engineering', 'Cloud computing', 'Data interpretation', 'communication', 'Natural language processing', 'Agile development', 'product development', 'Decision trees', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'quality control', 'Continuous integration and deployment (CI/CD)', 'decision trees', 'optimization']",Not Specified,0,Not Specified,Not Specified
2,Machine learning engineer,  Turing  ,  Lagos ,"About the job
A multi-billion pharmaceutical giant is looking for a Junior ML Engineer. As a core member of a well-established team, the engineer will work on building models using machine learning techniques to power AI-based applications. Strong Python skills and a passion for data is important in this role. The company is listed in Fortune 500 in terms of revenue and is one of the only two US-based companies that have a prime credit rating of AAA. The company is worth over $435 bn. This is a once-in-a-lifetime opportunity for those who want to work with a multi-billion dollar MNC.

Job Responsibilities:

Apply your knowledge in the domain of AI/ML to create products with a great user experience 
Understand project requirements to design an effective roadmap and manage the overall project lifecycle 
Design and develop highly scalable models/tools/classifiers/algorithms with the help of AI and Machine Learning principles and techniques 
Influence the technical direction of the projects and collaborate with cross-functional teams to communicate technical details effectively 
Continuously integrate and ship code into the cloud environment

Job Requirements:

Bachelor’s/Master’s degree in Computer Science (or equivalent experience)
2+ years of hands-on real-world experience
Strong Python skills and love for data
Understanding of machine learning libraries, predictive modeling, pattern recognition, data mining, and recommendation systems 
Knowledge of Artificial Neural Networks and Deep Learning Frameworks 
Deep understanding of large systems, complex code bases, and version control systems such as Git",Remote,237,"['Power Query', 'Power BI', ' C/C++', 'H2O.ai', 'Python', 'Git', 'R', 'Google Cloud', ' Q-Learning']","['Data visualization', 'Unsupervised learning', 'Neural networks', 'Cloud computing', 'Data interpretation', 'Reinforcement learning', 'Deep learning', 'Project management', 'Python programming', 'A/B testing', 'Version control', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'Computer vision', 'Classification algorithms', 'quality control', 'mining', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'modeling', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,bachelor
4,Data Scientist,  eHealth4everyone  ,  Abuja ,"About the job
Never Miss a Job Update Again. 
Company: 
Location: Nigeria
State: 
Job type: Full-Time 
Job category: 
 Job Description

eHealth4everyone is a digital health enterprise based in Nigeria (Africa) contributing to health service delivery using data science and information technology. At ehealth4everyone, our goal is saving lives and our approach is information and technology. We believe that if health is a right, proven digital health solutions and expertise such as ours should not be a privilege.

Job Title: Python Data Scientist

Location: Abuja (FCT)

The Python Data Scientist will write scripts to query and manipulate large data sets.
S/he will support the data team in the automation of the collection and analysis of data.
S/he will extract data from different sources, analyse it in the best way possible and draws inferences from them.
S/he may build specific AI tools for them to automate certain processes in the company.
Defines product objectives by gathering and analysing user requirements; envisioning system features and functionality.
Recommends data solutions by exploring the advantages and benefits of existing development against alternative development.
Be involved in regular testing of data scrapping scripts and software products; unit testing and final testing.
Writes and updates software test processes and procedures.
Coordinates (or partakes in) the coding/programming of software products and solutions with version control systems such as git.
Develop and maintain python scripts or applications to perform data scraping using the best available libraries in python.
Development and maintenance of data pipeline processes.
Implement requests to APIs and develop API modules with python.
Perform Data Analysis, mining and visualization using relevant python libraries.
Developing data models and algorithms best suited to a particular scenario.
Employ sophisticated analytics programs, machine learning and statistical methods to prepare data for use in predictive and prescriptive modelling.
Develop and maintain Natural Language processing applications using python’s NLTK library concepts.
Write and implement test scripts for python programs.
If the lead developer for a product or solution, he/she will do the following;
Breaks down tasks into executable units,
Assigns tasks to team members and allocates time,
Manages product features – backlog manager,
Responsible for managing and enforcing coding style and collaboration standards,
Supports and coordinates team members with appropriate review and retrospectives.
Involves in code review and optimization, and implements reviews made on products.
Write reusable and testable codes.
A Degree in Computer Science, Information Science, Mathematics or any closely related field is required.
Minimum of 1 year experience.
Sound knowledge of NumPy, Pandas, MatPlotLib or NLTK libraries.
Good knowledge of relational and structural databases and how to create database schemas that represent and support business processes.
Understands the design principles behind a scalable application.
Sound knowledge of version control tools such as git.
Strong knowledge of web server exploits and their solutions.
Passion for best design and coding practices, and a desire to develop new interesting ideas.
Top-notch programming skills and in-depth knowledge of modern data science/machine learning and natural language processing technologies.
Teamwork.
Good communication skills.
Highly organized and pays extraordinary attention to detail.
Must have the ability to act quickly and pragmatically under pressure, prioritise and resolve issues.
Enthusiasm and high level of motivation.
Application Closing Date

27th December, 2022.

Don't Keep! Kindly Share:",On-site,535,"['Power Query', ' C/C++', 'NLTK', 'Pandas', 'H2O.ai', 'Python', 'Git', 'AWS', 'R', ' Q-Learning', 'NumPy']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'communication', 'Natural language processing', 'Reinforcement learning', 'database management', 'Agile development', 'optimization', 'product development', 'Deep learning', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Version control', 'Data engineering', 'Supervised learning', 'Exploratory data analysis', 'Computer vision', 'analysis', 'Regression analysis', 'Classification algorithms', 'visualization', 'Support vector machines', 'quality control', 'mining', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Collaboration', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",1 year,1,1 to 3 years,master
6,Data Engineer,  Data2Bots  ,  Lagos ,About the job,On-site,3,[],[],Not Specified,0,Not Specified,Not Specified
7,Machine learning engineer,  KAUST  King Abdullah University of Science and Technology   ,  Kano ,About the job,On-site,3,[],[],Not Specified,0,Not Specified,Not Specified
8,Data Analyst,  TradeDepot  ,  Lagos ,About the job,On-site,3,[],[],Not Specified,0,Not Specified,Not Specified
9,Data Engineer,  Turing  ,  Lagos ,About the job,Remote,3,[],[],Not Specified,0,Not Specified,Not Specified
11,Machine learning engineer,  Choice Talents NG  ,  Lagos ,"About the job
This job is sourced from a job board. Learn more
Never Miss a Job Update Again.
Company:
Location: Nigeria
State:
Job type: Full-Time
Job category:
Job Description

Choice Talents NG is Nigeria’s preferred recruiter, trainer, business consultant, business and employee performance manager, for all categories of businesses (small, medium, large, multi-nationals and corporations). Our goal is to help build successful businesses through effective talent, resource and process management.

We Are Recruiting To Fill The Position Below

Job Title: Artificial Intelligence Specialist

Locations: Abuja (FCT) & Lagos

Employment Type: Full-time

Job Description
Develop AI for strategy and simulation games.
Write and maintain high-performance Python and LUA software code.
Write technical documents describing core systems.
Work closely with Design, Production, and QA.
AI Engineer designs and develops scalable solutions using AI tools and machine-learning models.
Performs research and testing to develop machine learning algorithms and predictive models.
Utilization of big data computation and storage tools to create prototypes and datasets.
Conducts model training and evaluation, integrates, tests, tunes, and monitors solutions.
Requirements
Bachelor’s Degree in Computer Science, Computer Engineering, Mathematics or a related field.
3+ years experience in-game and/or software development.
Familiarity with strategy and simulation games and open-world AI.
Experience with AI techniques such as Behavior Trees, Decision Trees, and Pathfinding.
Proficiency in one or more of the following: Python, Java, Javascript.
Proficient in mathematics including linear algebra, trigonometry, and algorithm design.
Passion for games and game design.
Self-motivated and loves solving problems.
One or more shipped game titles preferred.
Familiarity with ECS (entity component system) architecture.
Familiarity with multi-threaded programming.
Proficient with multiple AI tools such as Python, Java, or R and machine learning frameworks like Spark, TensorFlow, or sciket-learn.
Requires a Master’s Degree in Computer Science, Mathematics, Engineering or equivalent.
Works on advanced, complex technical projects or business issues requiring state-of-the-art technical or industry knowledge.
Application Closing Date

31st December, 2022.

Don't Keep! Kindly Share:",On-site,319,"['Scala Spark', ' C/C++', 'H2O.ai', 'sciket-learn', 'Javascript', 'Python', 'Spark', 'Scikit-Learn', 'R', 'Java', ' Q-Learning', 'Apache Spark', 'TensorFlow']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'Reinforcement learning', 'database management', 'Agile development', 'product development', 'Deep learning', 'Decision trees', 'Time series analysis', 'Project management', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Supervised learning', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'Classification algorithms', 'Ensemble learning', 'storage', 'Continuous integration and deployment (CI/CD)', 'decision trees', 'Transfer learning', 'Clustering algorithms', 'Machine learning']",Not Specified,0,Not Specified,bachelor
12,Machine learning engineer,  Turing  ,  Lagos ,"About the job
A fast-growing company that is developing an AI-powered platform to help business owners in the launch, management, and scaling of their enterprise by offering personalized guidance and insights, is looking for a Machine Learning Engineer. The engineer will be learning about the codebase, products and increasing their understanding of the team's major projects. The company is developing a conversational AI that gathers information from the business owner, such as the industry, business model canvas, preliminary research and notes, historical profit and loss records, business plans or strategy documents, sales figures, revenue targets, and various opportunities. This will be a part-time position requiring significant overlap with the EST time zone.

Job Responsibilities:

Learn about the roadmap and all of the exciting new projects that will be launched soon
Identify and concisely explain to non-tech team members the operational viability of feature requests
Join a fantastic engineering team to tackle challenging issues
Balance the interests of long-term quality with short-term value

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 5+ years of relevant experience as a Machine Learning engineer
Prolific experience working with the latest Machine Learning technologies
Demonstrable knowledge of and experience with Python
Excellent English communication skills, both spoken and written",Remote,209,"[' C/C++', 'H2O.ai', 'sciket-learn', 'Python', 'Excel', 'R', 'Scikit-Learn', ' Q-Learning']","['Unsupervised learning', 'Software engineering', 'communication', 'Reinforcement learning', 'database management', 'Deep learning', 'Project management', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'feature engineering', 'Computer vision', 'quality control', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'Transfer learning', 'Machine learning']",Not Specified,0,Not Specified,bachelor
14,Machine learning engineer,  Turing  ,  Lagos ,"About the job
An NYSE-listed company that has been developing game-changing pharmaceutical solutions for over a century is looking for a Machine Learning Engineer. The engineer will be responsible for creating cutting-edge software applications and writing scalable code for the platform. The U.S.-based company is researching, manufacturing, and distributing a range of world-class products in the healthcare sector. This is a great opportunity for developers who are eager to work with a multinational company and build a lucrative career.

Job Responsibilities:

Evaluate the platform's functional and business requirements
Guide different teams through various design specifications needed for a defined architecture
Ensure architectural and thorough design while supervising the project's execution
Actively take part in putting a software ecosystem into place

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a Machine Learning Engineer
Demonstrable experience working with Machine Learning technologies
Exceptional leadership and time management skills
Fluent in spoken and written English communication",Remote,163,"[' Q-Learning', 'R', ' C/C++']","['Deep learning', 'Project management', 'Time series analysis', 'Ensemble learning', 'Unsupervised learning', 'feature engineering', 'Computer vision', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'A/B testing', 'Business intelligence', 'communication', 'Transfer learning', 'database management', 'Supervised learning', 'Reinforcement learning', 'Data engineering', 'Machine learning']",Not Specified,0,Not Specified,bachelor
