SN,Job_Title,Company_Name,Location,Industry
0,Data analyst,DelonJobs,Lagos,[]
1,Data Engineer,McKinsey & Company ,Lagos,"['Investment & Asset Management', 'Business Consulting', 'Private Practice / Firm', 'HR Consulting', 'Management & Consulting']"
2,Data analyst,Kimberly Ryan Limited,Lagos,[]
3,Data Scientist,Treehouse Limited,Lagos,[]
4,Data Scientist,Teams,Lagos,[]
5,Data analyst,Iubenda ,Nigeria,"['Construction Repair & Maintenance Services', 'Education & Training Services', 'Civic & Social Services', 'Information Technology', 'Internet & Web Services', 'Health services', 'Information Technology Support Services', 'Taxi & Car Services', 'Private Practice / Firm', 'Architectural & Engineering Services', 'Financial Services']"
6,Data Architect,I’Tech Delta Investment Ltd,Lagos,[]
7,Data analyst,Africa Resource Company,Lagos,[]
8,Data analyst,Reposebay ,Lagos,[]
9,Data analyst,Scruples Resources,Lagos,[]
10,Data analyst,Lidya ,Lagos,"['Banking & Lending', 'Construction Repair & Maintenance Services', 'Education & Training Services', 'Civic & Social Services', 'Internet & Web Services', 'Health services', 'Architectural & Engineering Services', 'Information Technology Support Services', 'Taxi & Car Services', 'Financial Transaction Processing', 'Private Practice / Firm', 'Financial Services']"
11,Data analyst,Interswitch ,Lagos,"['Construction Repair & Maintenance Services', 'Education & Training Services', 'Civic & Social Services', 'Internet & Web Services', 'Health services', 'Architectural & Engineering Services', 'Information Technology Support Services', 'Taxi & Car Services', 'Financial Transaction Processing', 'Private Practice / Firm', 'Financial Services']"
12,Data analyst,GVA Partners ,Lagos,[]
13,Data Scientist,DelonJobs,Lagos,[]
14,Machine learning engineer,I’Tech Delta Investment Ltd,Lagos,[]
15,Data analyst,Xapo ,Nigeria,"['Construction Repair & Maintenance Services', 'Cable Internet & Telephone Providers', 'Education & Training Services', 'Civic & Social Services', 'Information Technology', 'Internet & Web Services', 'Health services', 'Information Technology Support Services', 'Taxi & Car Services', 'Private Practice / Firm', 'Architectural & Engineering Services', 'Financial Services']"
16,Data Scientist,Mastercard ,Lagos,"['Construction Repair & Maintenance Services', 'Education & Training Services', 'Civic & Social Services', 'Internet & Web Services', 'Health services', 'Information Technology Support Services', 'Taxi & Car Services', 'Financial Transaction Processing', 'Architectural & Engineering Services', 'Financial Services']"
